modulo;perfil;medida;color;descripcion;extras;costo;proveedor;precio;ganancia
VENTANA_MODENA;verde;120x110;simil madera;120x110 | simil madera | DVH 4+9+4;DVH 4+9+4;655824;609916;946895;291071
VENTANA_MODENA;papu;150x150;blanco;150x150 | blanco | 4mm;4mm;212124;212124;212124;0
VENTANA_MODENA;papu;150x150;blanco;150x150 | blanco | 4mm + Mosquitero;4mm+mosquitero;253187;253187;253187;0
VENTANA_MODENA;papu;150x150;blanco;150x150 | blanco | 4mm + Premarco;4mm+premarco;281724;281724;281724;0
VENTANA_MODENA;papu;150x150;blanco;150x150 | blanco | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;281724;281724;281724;0
VENTANA_MODENA;papu;150x150;blanco;150x150 | blanco | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;322787;322787;322787;0
VENTANA_MODENA;papu;150x150;blanco;150x150 | blanco | DVH 4+9+4;DVH 4+9+4;368603;368603;368603;0
VENTANA_MODENA;papu;150x150;negro;150x150 | negro | 4mm;4mm;263645;263645;263645;0
VENTANA_MODENA;papu;150x150;negro;150x150 | negro | 4mm + Mosquitero;4mm+mosquitero;317027;317027;317027;0
VENTANA_MODENA;papu;150x150;negro;150x150 | negro | 4mm + Premarco;4mm+premarco;333245;333245;333245;0
VENTANA_MODENA;papu;150x150;negro;150x150 | negro | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;333245;333245;333245;0
VENTANA_MODENA;papu;150x150;negro;150x150 | negro | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;386627;386627;386627;0
VENTANA_MODENA;papu;150x150;negro;150x150 | negro | DVH 4+9+4;DVH 4+9+4;420124;420124;420124;0
VENTANA_MODENA;papu;150x150;bronce colonial;150x150 | bronce colonial | 4mm;4mm;289406;289406;289406;0
VENTANA_MODENA;papu;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Mosquitero;4mm+mosquitero;348947;348947;348947;0
VENTANA_MODENA;papu;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Premarco;4mm+premarco;359006;359006;359006;0
VENTANA_MODENA;papu;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;359006;359006;359006;0
VENTANA_MODENA;papu;150x150;bronce colonial;150x150 | bronce colonial | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;418547;418547;418547;0
VENTANA_MODENA;papu;150x150;bronce colonial;150x150 | bronce colonial | DVH 4+9+4;DVH 4+9+4;445885;445885;445885;0
VENTANA_MODENA;papu;150x150;simil madera;150x150 | simil madera | 4mm;4mm;692990;692990;692990;0
VENTANA_MODENA;papu;150x150;simil madera;150x150 | simil madera | 4mm + Mosquitero;4mm+mosquitero;849029;849029;849029;0
VENTANA_MODENA;papu;150x150;simil madera;150x150 | simil madera | 4mm + Premarco;4mm+premarco;762590;762590;762590;0
VENTANA_MODENA;papu;150x150;simil madera;150x150 | simil madera | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;762590;762590;762590;0
VENTANA_MODENA;papu;150x150;simil madera;150x150 | simil madera | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;918629;918629;918629;0
VENTANA_MODENA;papu;150x150;simil madera;150x150 | simil madera | DVH 4+9+4;DVH 4+9+4;849469;849469;849469;0
VENTANA_MODENA;papu;120x110;blanco;120x110 | blanco | 4mm;4mm;160237;160237;160237;0
VENTANA_MODENA;papu;120x110;blanco;120x110 | blanco | 4mm + Mosquitero;4mm+mosquitero;188887;188887;188887;0
VENTANA_MODENA;papu;120x110;blanco;120x110 | blanco | 4mm + Premarco;4mm+premarco;213597;213597;213597;0
VENTANA_MODENA;papu;120x110;blanco;120x110 | blanco | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;213597;213597;213597;0
VENTANA_MODENA;papu;120x110;blanco;120x110 | blanco | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;242247;242247;242247;0
VENTANA_MODENA;papu;120x110;blanco;120x110 | blanco | DVH 4+9+4;DVH 4+9+4;270614;270614;270614;0
VENTANA_MODENA;papu;120x110;negro;120x110 | negro | 4mm;4mm;201510;201510;201510;0
VENTANA_MODENA;papu;120x110;negro;120x110 | negro | 4mm + Mosquitero;4mm+mosquitero;238755;238755;238755;0
VENTANA_MODENA;papu;120x110;negro;120x110 | negro | 4mm + Premarco;4mm+premarco;254870;254870;254870;0
VENTANA_MODENA;papu;120x110;negro;120x110 | negro | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;254870;254870;254870;0
VENTANA_MODENA;papu;120x110;negro;120x110 | negro | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;292115;292115;292115;0
VENTANA_MODENA;papu;120x110;negro;120x110 | negro | DVH 4+9+4;DVH 4+9+4;311887;311887;311887;0
VENTANA_MODENA;papu;120x110;bronce colonial;120x110 | bronce colonial | 4mm;4mm;222146;222146;222146;0
VENTANA_MODENA;papu;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Mosquitero;4mm+mosquitero;263689;263689;263689;0
VENTANA_MODENA;papu;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Premarco;4mm+premarco;275506;275506;275506;0
VENTANA_MODENA;papu;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;275506;275506;275506;0
VENTANA_MODENA;papu;120x110;bronce colonial;120x110 | bronce colonial | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;317049;317049;317049;0
VENTANA_MODENA;papu;120x110;bronce colonial;120x110 | bronce colonial | DVH 4+9+4;DVH 4+9+4;332523;332523;332523;0
VENTANA_MODENA;papu;120x110;simil madera;120x110 | simil madera | 4mm;4mm;545447;545447;545447;0
VENTANA_MODENA;papu;120x110;simil madera;120x110 | simil madera | 4mm + Mosquitero;4mm+mosquitero;654317;654317;654317;0
VENTANA_MODENA;papu;120x110;simil madera;120x110 | simil madera | 4mm + Premarco;4mm+premarco;598807;598807;598807;0
VENTANA_MODENA;papu;120x110;simil madera;120x110 | simil madera | 4mm + Premarco + Contramarco;4mm+premarco+contramarco;598807;598807;598807;0
VENTANA_MODENA;papu;120x110;simil madera;120x110 | simil madera | 4mm + Mosquitero + Premarco + Contramarco;4mm+mosq+premarco+contramarco;707677;707677;707677;0
VENTANA_MODENA;papu;120x110;simil madera;120x110 | simil madera | DVH 4+9+4;DVH 4+9+4;655824;655824;655824;0
